Id	Name	Group	Description
0x1083500A	Frame Rate Limiter For Nvcpl	02 - Sync and Refresh	Framerate Limiter FPS only for NVCPL to maintain the previous slider value when the FRL_FPS is set to Disabled.
0x10834F01	Frame Rate Monitor	02 - Sync and Refresh	FRM parameters (deprecated)
0x10834F05	Frame Rate Monitor Control	02 - Sync and Refresh	FRM control parameters
0x1083500F	Gfn's Frame Rate Limiter	02 - Sync and Refresh	GFN's Frame Rate Limiter
0x10844F18	Height In Pixels Of Latency Flash Indicator	02 - Sync and Refresh	Height in pixels of latency flash indicator in PS_FramerateMonitor.
0x00676635	Indicator Triple Buffering	02 - Sync and Refresh	Setting from which CPL will decide whether to show Triple Buffering as normal or greyed out
0x00280880	Indicator Vertical Sync	02 - Sync and Refresh	Toggle Fullscreen Indicator on or off / Manage other indicator add-ons
0x2027F0A8	OpenGL Lddm MT Vertical Sync Wait Method	10 - OpenGL	The vsync wait method for multi-threaded applications (wddm only).
0x20EE02B2	OpenGL Tearing Free Swap Present	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Tearing Free Swap Present". This setting affects presentation timing, frame pacing, refresh policy, or synchronization behavior.
0x0005F512	Present Mode Async Dx10	02 - Sync and Refresh	Force DX10 present to async or sync call
0x10834F15	Screen Position By % Of Latency Flash Indicator 0X10834f15	02 - Sync and Refresh	Screen position by % of latency flash indicator in PS_FramerateMonitor. 0 = left edge, 100 = right edge.
0x10834F16	Screen Position By % Of Latency Flash Indicator 0X10834f16	02 - Sync and Refresh	Screen position by % of latency flash indicator in PS_FramerateMonitor. 0 = top edge, 100 = bottom edge.
0x10FDEC23	Vertical Sync Behavior Flags	02 - Sync and Refresh	Flags for altering how the driver interprets VSYNC
0x80857A28	Vertical Sync Expr Behaviors	02 - Sync and Refresh	Collect usage statistics
0x10834F17	Width In Pixels Of Latency Flash Indicator	02 - Sync and Refresh	Width in pixels of latency flash indicator in PS_FramerateMonitor.
0x10D7162F	Antialiasing Combined Mode + Setting	06 - Rendering Features	Controls the predefined driver behavior associated with "Antialiasing Combined Mode + Setting". This setting affects image quality controls such as antialiasing, transparency sampling, or post-process sharpening.
0x00666665	Indicator MFAA	06 - Rendering Features	Setting from which CPL will decide whether to show MFAA as normal or greyed out
0x20992431	Prevent Antialiasing OpenGL	10 - OpenGL	Disable different AA override option in the control panel for application that cannot support it
0x10F74257	Anisotropic Filtering Mode + Level	04 - Texture Filtering	Controls how the anisotropic filtering mode is applied
0x10E30043	Anisotropic Filtering Mode + Setting	04 - Texture Filtering	Controls the predefined driver behavior associated with "Anisotropic Filtering Mode + Setting". This setting affects texture filtering quality, anisotropic filtering, or texture LOD selection.
0x207C128B	OpenGL App Centroid Sample	10 - OpenGL	Disable centroid sampling G80 only
0x20B36B5C	OpenGL Force Gamma Downsample	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Force Gamma Downsample". This setting affects texture filtering quality, anisotropic filtering, or texture LOD selection.
0x01ABAC23	Enable NIS 2.0 KMD Notification	05 - Upscaling and Frame Generation	Controls the NVIDIA driver behavior associated with "Enable NIS 2.0 KMD Notification". This setting affects NVIDIA upscaling, frame generation, or reconstruction features.
0x10C7D57E	NGX DLSS FG Override Reserved Key1	05 - Upscaling and Frame Generation	Controls the NVIDIA driver behavior associated with "NGX DLSS FG Override Reserved Key1". This setting affects NVIDIA upscaling, frame generation, or reconstruction features.
0x10C7D519	NGX DLSS FG Override Reserved Key2	05 - Upscaling and Frame Generation	Controls the NVIDIA driver behavior associated with "NGX DLSS FG Override Reserved Key2". This setting affects NVIDIA upscaling, frame generation, or reconstruction features.
0x10C7D86C	NGX DLSS RR Override Reserved Key1	05 - Upscaling and Frame Generation	Controls the NVIDIA driver behavior associated with "NGX DLSS RR Override Reserved Key1". This setting affects NVIDIA upscaling, frame generation, or reconstruction features.
0x10C7D597	NGX DLSS RR Override Reserved Key2	05 - Upscaling and Frame Generation	Controls the NVIDIA driver behavior associated with "NGX DLSS RR Override Reserved Key2". This setting affects NVIDIA upscaling, frame generation, or reconstruction features.
0x10C7D684	NGX DLSS SR Override Reserved Key1	05 - Upscaling and Frame Generation	Controls the NVIDIA driver behavior associated with "NGX DLSS SR Override Reserved Key1". This setting affects NVIDIA upscaling, frame generation, or reconstruction features.
0x10C7D82C	NGX DLSS SR Override Reserved Key2	05 - Upscaling and Frame Generation	Controls the NVIDIA driver behavior associated with "NGX DLSS SR Override Reserved Key2". This setting affects NVIDIA upscaling, frame generation, or reconstruction features.
0x00598949	NIS Allow	10 - OpenGL	Controls whether the Sharpen filter is allowed. OpenGL defaults to allowed, while DX9, DX11, and DX12 default to disabled. If the active application is designated to run on the discrete GPU through Optimus, sharpening is allowed.
0x00ABAC31	NIS V2 Enable Nvapp Or Nvcp Required	05 - Upscaling and Frame Generation	Controls the NVIDIA driver behavior associated with "NIS V2 Enable Nvapp Or Nvcp Required". This setting affects NVIDIA upscaling, frame generation, or reconstruction features.
0x00ABAC21	NIS V2 Mode Nvapp Or Nvcp Required	05 - Upscaling and Frame Generation	Controls the NVIDIA driver behavior associated with "NIS V2 Mode Nvapp Or Nvcp Required". This setting affects NVIDIA upscaling, frame generation, or reconstruction features.
0x00ABAB21	NIS V2 Value Nvapp Or Nvcp Required	05 - Upscaling and Frame Generation	Defines the sharpening value for NIS2 DirScaler algorithm (Range 0-100).
0x100D51F7	Ansel Behavior 2 100D51f7	06 - Rendering Features	Specifies denylisting combinations for Ansel. Set this per-game.
0x10D5C2DB	Ansel Behavior 3 10D5c2db	06 - Rendering Features	Determines if Ansel is allowed to be loaded and activated offline without the need for any network checks.
0x0085F725	Colorcompressenable	06 - Rendering Features	Controls the predefined driver behavior associated with "Colorcompressenable". This setting affects rendering features, post-processing, or image pipeline behavior.
0x70AC6888	Leftcolorfilter0	06 - Rendering Features	Controls the predefined driver behavior associated with "Leftcolorfilter0". This setting affects rendering features, post-processing, or image pipeline behavior.
0x7090B6CA	Leftcolorfilter1	06 - Rendering Features	Controls the predefined driver behavior associated with "Leftcolorfilter1". This setting affects rendering features, post-processing, or image pipeline behavior.
0x70DC4A12	Linecodecolor	06 - Rendering Features	Controls the predefined driver behavior associated with "Linecodecolor". This setting affects rendering features, post-processing, or image pipeline behavior.
0x206C7691	OpenGL App Hide Float Color IF NO TWO Sided	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL App Hide Float Color IF NO TWO Sided". This setting affects rendering features, post-processing, or image pipeline behavior.
0x20AB9B87	OpenGL Perf Strat Color Compression	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Perf Strat Color Compression". This setting affects rendering features, post-processing, or image pipeline behavior.
0x20A2DE5F	OpenGL SET Reduce Color Thresholds Unorm8	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL SET Reduce Color Thresholds Unorm8". This setting affects rendering features, post-processing, or image pipeline behavior.
0x70B9A2F7	Rightcolorfilter0	06 - Rendering Features	Controls the predefined driver behavior associated with "Rightcolorfilter0". This setting affects rendering features, post-processing, or image pipeline behavior.
0x70ACA0CC	Rightcolorfilter1	06 - Rendering Features	Controls the predefined driver behavior associated with "Rightcolorfilter1". This setting affects rendering features, post-processing, or image pipeline behavior.
0x1077A11A	RTX HDR Allow	06 - Rendering Features	Controls the predefined driver behavior associated with "RTX HDR Allow". This setting affects rendering features, post-processing, or image pipeline behavior.
0x200083E1	OpenGL - Breakup drawElements with restart enabled into independent primitives in fall back cases	10 - OpenGL	Breakup drawElements with restart enabled into independent primitives in fall back cases
0x2009C4A8	OpenGL - Default DX present policy for MSHybrid configurations	10 - OpenGL	Controls default DX present policy for MSHybrid configurations.  Note that disabling DX present here does not prevent it from getting enabled for some other reason (e.g. HDR).  RS2 is the first version that supports Win7-blit (providing effecient MSHybrid support).  RS4 is the first version with a fix for diagonal tearing bug 200050074.
0x200EF1B9	0x200EF1B9 (OpenGL)	10 - OpenGL	
0x20105454	OpenGL - VirtualProtect WriteWatch Heap Lock	10 - OpenGL	Controls heap locking for the OpenGL VirtualProtect WriteWatch performance strategy.
0x201067FA	0x201067FA (OpenGL)	10 - OpenGL	
0x201067FB	0x201067FB (OpenGL)	10 - OpenGL	
0x2013EBAD	OpenGL - Unmapped Vulkan Allocation Vidmem Coercion	10 - OpenGL	Controls whether unmapped VK allocations will be coerced into vidmem
0x2015DBE2	OpenGL - Bug 200558116 workaround	10 - OpenGL	Controls whether Bug 200558116 workaround is enabled
0x2017A8C5	OpenGL - Vulkan Swapchain Workarounds	10 - OpenGL	Workarounds related to VkSwapchainKHR
0x20182054	OpenGL - Zcull Subregion Update Skip	10 - OpenGL	Using a state and global swapcount for tracking, when the last surface swapcount equals the current state/global swapcount, skip zcull subregion update
0x201ABBC8	OpenGL - Memory manager block size based on vram size	10 - OpenGL	Memory manager block size based on vram size
0x201CB1CF	OpenGL - Hidden Extension List	10 - OpenGL	Hide OpenGL extensions specified by this string. Multiple extensions are space-separated.
0x201F610A	OpenGL - Perf heuristic that disallows host memory demotion for high priority allocations	10 - OpenGL	Perf heuristic that disallows host memory demotion for high priority allocations
0x201F7CE2	0x201F7CE2 (OpenGL)	10 - OpenGL	
0x2023CD0E	OpenGL - Classic \named\ vertex attributes are subject to instancing divisors	10 - OpenGL	Controls whether or not classic \named\ vertex attributes are subject to instancing divisors.
0x202419A3	OpenGL - SLI performance issue	10 - OpenGL	Workaround to fix SLI performance issue
0x20244EA6	0x20244EA6 (OpenGL)	10 - OpenGL	
0x20247E01	OpenGL - Vulkan Device Group Workarounds	10 - OpenGL	Workarounds related to device groups
0x202486F4	OpenGL - Maximum Aliased Line Width	10 - OpenGL	Set maximum aliased line width
0x202486F5	OpenGL - Maximum Smooth Line Width	10 - OpenGL	Set maximum smooth line width
0x20255E39	OpenGL - Smooth AA Early Culling Optimization	10 - OpenGL	Enables or disables the optimization that uses a Geometry Shader in order to cull early smooth AA lines. Only works on cards with more than 1 GPC.
0x202717DD	0x202717DD (OpenGL)	10 - OpenGL	
0x2028CA3F	OpenGL - Maximum Trim Level	10 - OpenGL	Control which trim level is the highest allowed
0x202D03A7	OpenGL - Normal copy or multicast copy without GPU storage	10 - OpenGL	Allow normal copy or multicast copy without GPU storage
0x202D489F	OpenGL - SM Instruction Prefetch	10 - OpenGL	Control the SM instruction prefetch. This is the in SM prefetch of upcoming instructions.
0x202ED4BA	OpenGL - ZCull Flags	10 - OpenGL	Controls OpenGL ZCull behavior flags for layered resources, context switching, and depth-format handling.
0x20300FC8	OpenGL - SCG SM Count Limit	10 - OpenGL	Limits hardware to use only a fraction of the total SM count for SCG (simultaneous compute and graphics).  A value of 0x100 means to use all SMs.
0x20301FD6	0x20301FD6 (OpenGL)	10 - OpenGL	
0x2030B5CD	OpenGL - Shader Output Zero Initialization Flags	10 - OpenGL	Flags to forcibly enable zero-initialization of shader outputs for different shader stages.
0x20313233	OpenGL - Absolute-Base pow Instruction	10 - OpenGL	Modify the pow instruction to take the absolute value of the base operand, so as to avoid undefined behavior on applications that pass a negative base by default.
0x20324985	OpenGL - Windows 8 DX11 Layered Present	10 - OpenGL	Win8 OpenGL present layered on DX11
0x20339C5C	OpenGL - Fullscreen Exclusive Validation for DPI-Unaware Apps	10 - OpenGL	Control full-screen exlusive mode validation for DPI-unaware applications
0x2033F75B	0x2033F75B (OpenGL)	10 - OpenGL	
0x2034DFE6	OpenGL - GLSL Compiler Options	10 - OpenGL	Extra options to pass to the GLSL compiler.
0x20350A3C	0x20350A3C (OpenGL)	10 - OpenGL	
0x20394A56	OpenGL - Disabled MSAA Depth Sampling Method	10 - OpenGL	Selects the depth (Z) sampling method used for multisample buffers when multisampling is disabled.
0x203A0819	OpenGL - Multi-GPU Support Bits	10 - OpenGL	Controls OpenGL multi-GPU support flags and synchronization behavior.
0x203BB0F7	OpenGL - vkQueueSubmit Control Flags	10 - OpenGL	Flags to control vkQueueSubmit operation
0x204142DF	OpenGL - Windows 8+ Flipping Behavior	10 - OpenGL	Controls the flipping behaviour on Windows8+
0x20439714	OpenGL - Bug 2548370 workaround	10 - OpenGL	Controls whether Bug 2548370 workaround is enabled
0x2047516A	0x2047516A (OpenGL)	10 - OpenGL	
0x2049A8BD	OpenGL - MAILBOX Presentation Flipping Method	10 - OpenGL	Flipping method to use for MAILBOX presentation
0x204A5341	OpenGL - GPU Disconnect Message Box	10 - OpenGL	Controls WGL message-box behavior when the OpenGL GPU disconnect path is hit.
0x204C0735	OpenGL - High UBO Descriptor Limits	10 - OpenGL	Enable higher UBO descriptor limits for Vulkan
0x20505214	OpenGL - GPGPU Interop Client Control	10 - OpenGL	Enables and disables OpenGL interop per GPGPU interop client
0x20523DCF	0x20523DCF (OpenGL)	10 - OpenGL	
0x20554D4E	OpenGL - Override the buffer bound checking to avoid possible issues in application	10 - OpenGL	Override the buffer bound checking to avoid possible issues in application
0x20559482	OpenGL - Activation of the reduction tracker perf strat	10 - OpenGL	Controls the activation of the reduction tracker perf strat
0x20573880	OpenGL - TDR Delay	10 - OpenGL	Set the TDR delay value in seconds (0 is disabled)
0x2058BC06	0x2058BC06 (OpenGL)	10 - OpenGL	
0x205E09FA	OpenGL - Ignore window destroy while threads are being detached	10 - OpenGL	Ignore window destroy while threads are being detached. Resolves potential deadlocks.
0x2062AF0C	0x2062AF0C (OpenGL)	10 - OpenGL	
0x206DD7E6	OpenGL - Force Hardware Texture Creation	10 - OpenGL	Forces texture to HW during texture creation
0x206F6E12	OpenGL - Ansel Vulkan Control Flags	10 - OpenGL	Flags to control Ansel in the Vulkan driver
0x206F6E1B	0x206F6E1B (OpenGL)	10 - OpenGL	
0x206F6E1C	0x206F6E1C (OpenGL)	10 - OpenGL	
0x206F6E1D	0x206F6E1D (OpenGL)	10 - OpenGL	
0x20743EA1	OpenGL - Host memory is allowed for tile pools	10 - OpenGL	Controls whether host memory is allowed for tile pools
0x20784B74	0x20784B74 (OpenGL)	10 - OpenGL	
0x20784B75	0x20784B75 (OpenGL)	10 - OpenGL	
0x207AB856	0x207AB856 (OpenGL)	10 - OpenGL	
0x207F057E	0x207F057E (OpenGL)	10 - OpenGL	
0x2081E3F1	OpenGL - Async P2P Transfer Mode	10 - OpenGL	Controls mode used for Async P2P transfers
0x2082C57D	OpenGL - VirtualProtect WriteWatch	10 - OpenGL	Controls the OpenGL VirtualProtect WriteWatch performance strategy.
0x208845AC	OpenGL - Vulkan Present and Swapchain Behavior	10 - OpenGL	Control behavior of VkSwapchainKHR and VkQueuePresentKHR
0x20886748	OpenGL - Lock to rated TDP under PS2.0	10 - OpenGL	Lock to rated TDP under PS2.0
0x2089A332	OpenGL - ZCull Performance Strategy Mode	10 - OpenGL	Selects the ZCull mode used by the OpenGL performance strategy.
0x208BB815	OpenGL - G-SYNC VSync Behavior Mode	10 - OpenGL	This is a debugging regkey to switch among three vsync behavior modes under Gsync setup
0x208BB816	OpenGL - Heuristic for using pixbar in shaders	10 - OpenGL	Controls the heuristic for using pixbar in shaders
0x208CF634	OpenGL - WAR for HW bug 972630	10 - OpenGL	Enable/Disable WAR for HW bug 972630 for experimentation.
0x208F7167	OpenGL - AND the sampler and image descriptor handles with 0xFFF00000 and 0xFFFFF respectively before combining them	10 - OpenGL	AND the sampler and image descriptor handles with 0xFFF00000 and 0xFFFFF respectively before combining them.
0x209200E8	OpenGL - BufferSubData Sysmem Copy Limit	10 - OpenGL	Max. size in bytes for using separate sysmem copy of user data to avoid a Sync.  Above this limit, we pass user ptr and force a Sync to avoid sysmem copy.  Currently only used for BufferSubData.
0x2094BE8D	OpenGL - Memory Overallocation Behavior	10 - OpenGL	Controls driver behavior for memory overallocation.
0x2094BE8E	OpenGL - Default Vulkan Robustness Behavior	10 - OpenGL	Controls default Vulkan robustness behavior.
0x2095A39B	OpenGL - Remote Desktop OpenGL Usage	10 - OpenGL	Control use of OpenGL in Remote Desktop
0x209765AF	Vulkan - Depth/Stencil Compute Copy Override	10 - OpenGL	Controls whether Vulkan depth/stencil image copies use a compute path to copy interleaved depth and stencil data together.
0x209E7944	OpenGL - Bindless Residency Memory Limit	10 - OpenGL	Adds limits to memory made resident by bindless functions
0x209E7D35	OpenGL - Maximal reconvergence in GLV on Volta+, using vote and warpsync	10 - OpenGL	Enables maximal reconvergence in GLV on Volta+, using vote and warpsync
0x209E7D4A	0x209E7D4A (OpenGL)	10 - OpenGL	
0x209E7D4B	0x209E7D4B (OpenGL)	10 - OpenGL	
0x20A03B11	0x20A03B11 (OpenGL)	10 - OpenGL	
0x20A3B123	OpenGL - Descriptor Push Root Table Usage	10 - OpenGL	Controls the use of the VPC/root table for pushing descriptors.
0x20A3D20D	0x20A3D20D (OpenGL)	10 - OpenGL	
0x20A4993D	OpenGL - Minimize VRAM paging by limiting buffer object VRAM use to memory available at application startup	10 - OpenGL	Minimize VRAM paging by limiting buffer object VRAM use to memory available at application startup
0x20A67039	OpenGL - For VRAM sized memory blocks, table size required to represent all memory blocks	10 - OpenGL	For VRAM sized memory blocks, table size required to represent all memory blocks
0x20A84C92	OpenGL - Window-Based Render GPU Selection	10 - OpenGL	Selects the default OpenGL render GPU from the window position for same-Quadro hardware configurations.
0x20AB097B	OpenGL - WGL Abort Behavior	10 - OpenGL	Selects how WGL handles fatal abort paths.
0x20ABF3FA	OpenGL - GDI over OpenGL Mixing	10 - OpenGL	Some applications render GDI on top OpenGL content. There is limited support for this with blit model, but with flip model (can be used by dxPresent path), mixing GDI and other rendering is not supported. In fact the first flip model present to a window permanently disables GDI rendering support for that window. Enabling mixing here prevents the dxPresent path from using flip model when possible (note that diagonal tearing is possible due to bug 200050074). Enabling this is not necessary for applications that use a SUPPORT_GDI pixelformat.
0x20AC3D04	OpenGL - Constant Folding Pipeline Time Threshold	10 - OpenGL	Lower bound on the average amount of time (in us) that must be spent in a pipeline for the profiler to consider it worthwhile for constant folding
0x20AC3D07	OpenGL - Maximum Pipeline Passes Per Second	10 - OpenGL	Maximum number of passes to process per second.
0x20AFA115	OpenGL - vkCmdCopy Execution Path	10 - OpenGL	Controls if vkCmdCopy* functions use TWOD, PSHADER, or COMPUTE in this order where applicable
0x20B07241	OpenGL - Depth Stencil Pixel Format	10 - OpenGL	Defines pixel format used for OGL depth stencil buffer
0x20B0B348	OpenGL - Fragment Shader KIL Behavior	10 - OpenGL	Control the behavior of fragment shader KIL instructions.
0x20B5F2B2	0x20B5F2B2 (OpenGL)	10 - OpenGL	
0x20BA7E04	OpenGL - Oversubscription of the host-visible heap automatically retries in sysmem rather than failing the allocation	10 - OpenGL	Controls whether oversubscription of the host-visible heap automatically retries in sysmem rather than failing the allocation. For use as WAR for certain applications.
0x20BABA5A	0x20BABA5A (OpenGL)	10 - OpenGL	
0x20BAC892	0x20BAC892 (OpenGL)	10 - OpenGL	
0x20BADA12	0x20BADA12 (OpenGL)	10 - OpenGL	
0x20BAEFD5	OpenGL - Loader Count Increment	10 - OpenGL	Increment the loader count when creating the currently loaded module
0x20BB558F	OpenGL - Applications that don't follow the GL 4.4 spec for fixed/non-fixed sample locations	10 - OpenGL	Work around for applications that don't follow the GL 4.4 spec for fixed/non-fixed sample locations, these can't be mixed.
0x20BC1A2A	OpenGL - vkGetDeviceProcAddr Compatibility Behavior	10 - OpenGL	Compatibility setting that maintains old incorrect vkGetDeviceProcAddr behavior
0x20BC1A2C	OpenGL - OCG Floating-Point Optimization Behavior	10 - OpenGL	Controls OCG floating point optimization behavior
0x20BC1A2E	OpenGL - Undefined Layout Clear Behavior	10 - OpenGL	Controls clear behavior on layout transition from undefined layout
0x20BC1A30	OpenGL - Barrier Deferral with Transfer Operations	10 - OpenGL	Controls deferral of barriers interleaved with transfer ops
0x20BC1A34	OpenGL - Forced Compiler Options and Optimizations	10 - OpenGL	Control which compiler options/optimizations are force enabled/disabled.
0x20BD092B	OpenGL - Async Blit State Handle Threshold	10 - OpenGL	Threshold of allocated state handles where we allow async blit to be initialized.
0x20C07BC3	OpenGL - Pixels From Memory Downsample Usage	10 - OpenGL	Toggle the usage of Pixels From Memory(PFM) for downsamples.
0x20C0BF93	OpenGL - Force Early-Z Without Fragment Shader	10 - OpenGL	Controls whether to force early-z for draw calls with no fragment shader. Potentially useful if an app is limited by transitions between early-z and late-z.
0x20C0DEF0	OpenGL - Shader Constant Folding Control	10 - OpenGL	Control whether shader constant folding is enabled and for which stages
0x20C0DEF1	OpenGL - Constant Folding Tracking Pass Count	10 - OpenGL	Number of tracking passes a uniform needs to keep the same value before being constant folded
0x20C0DEF5	OpenGL - Constant Folding Validation Failure Threshold	10 - OpenGL	Minimum percentage of validation attempts that must fail before optimization is aborted and tracking begins again
0x20C0DEF6	OpenGL - Constant Folding Uniform Count Threshold	10 - OpenGL	Minimum number of uniforms a shader must have for it to be analyzed for optimization
0x20C0DEF8	OpenGL - Host-Visible Vidmem Exposure	10 - OpenGL	Controls whether the host-visible vidmem type and heap (DEVICE_LOCAL | HOST_VISIBLE | HOST_COHERENT) are exposed through the Vulkan API.
0x20C17757	OpenGL - Dedicated Hardware State Per Context	10 - OpenGL	Controls whether GL is allowed to use dedicated HW state per context
0x20C1DEF7	OpenGL - RTCore CTA Swizzle Optimization Disable	10 - OpenGL	Option to force-disable the RTCore CTA swizzle optimization.
0x20C32AD3	OpenGL - Vulkan SCG Behavior Flags	10 - OpenGL	Flags Vulkan SCG behaviour
0x20C6EA21	OpenGL - Dirty texture AFR after sharing with glTextureView - this is a temporary workaround for Catia NRE	10 - OpenGL	Dirty texture AFR after sharing with glTextureView - this is a temporary workaround for Catia NRE
0x20C732A2	Vulkan - Expose Texture Dirty Tile Map Extension	10 - OpenGL	Controls exposure of the VK_NV_texture_dirty_tile_map extension.
0x20C7A9D3	0x20C7A9D3 (OpenGL)	10 - OpenGL	
0x20C82D63	OpenGL - Cached DMA Allocation Limit	10 - OpenGL	Set an upper limit on cached DMA allocations, expressed in percentage of the total amount of sysmem. This value will override OGL_MEMMGR_CACHED_ALLOC_LIMIT
0x20CA3E21	0x20CA3E21 (OpenGL)	10 - OpenGL	
0x20CC604B	0x20CC604B (OpenGL)	10 - OpenGL	
0x20CD42DF	0x20CD42DF (OpenGL)	10 - OpenGL	
0x20D0CE3C	0x20D0CE3C (OpenGL)	10 - OpenGL	
0x20D0E23D	OpenGL - WSVA Tuning	10 - OpenGL	Provides fine tuning of WSVA
0x20D377DD	OpenGL - VirtualProtectWriteWatch Early Unprotect	10 - OpenGL	In VirtualProtectWriteWatch, force and early unprotect
0x20D377DE	OpenGL - VirtualProtectWriteWatch Rearming	10 - OpenGL	In VirtualProtectWriteWatch, allow rearming
0x20D489F5	OpenGL - Assembly Temporary Zero Initialization Flags	10 - OpenGL	Flags to forcibly enable zero-initialization of assembly temporaries for different shader stages.
0x20D518CB	OpenGL - SolidWorks 2015 Order Independent Transparency shader fix	10 - OpenGL	SolidWorks 2015 Order Independent Transparency shader fix
0x20D518D1	OpenGL - LinkProgram Locking	10 - OpenGL	Whether to hold a lock around LinkProgram
0x20D518D4	OpenGL - Use memory that favors GPU access for persistent mapped buffers even with READ_BIT set	10 - OpenGL	Use memory that favors GPU access for persistent mapped buffers even with READ_BIT set
0x20D518D5	OpenGL - HEAP_VID Allocation Ratio	10 - OpenGL	A percentage ratio of memory that can be consumed by HEAP_VID-only allocations
0x20D518D6	OpenGL - Knob to avoid memory fragmentation	10 - OpenGL	Knob to avoid memory fragmentation
0x20D5B86D	OpenGL - Swap Group Control	10 - OpenGL	Controls OpenGL swap-group behavior, including WDDM barrier binding and fullscreen flipping policy.
0x20D6CE25	OpenGL - Texture Host Copy Skip Flags	10 - OpenGL	Controls flags for skipping host-side texture copies during OpenGL texture allocation.
0x20D8E777	OpenGL - Per-FBO Dummy Window	10 - OpenGL	Controls whether or not a dummy window is created for each FBO.
0x20D95F5B	0x20D95F5B (OpenGL)	10 - OpenGL	
0x20DEAB07	OpenGL - Initial size of the Vulkan texture heap	10 - OpenGL	Controls the initial size of the Vulkan texture heap.
0x20DEEB05	OpenGL - Initial size of the Vulkan sampler heap	10 - OpenGL	Controls the initial size of the Vulkan sampler heap.
0x20DEED5C	OpenGL - Forces the compiler to return old CG compatible GLSL types instead of newer GLSL types	10 - OpenGL	Forces the compiler to return old CG compatible GLSL types instead of newer GLSL types.
0x20E1389A	OpenGL - Sysmem Heap Allocation Limit	10 - OpenGL	Set an upper limit on sysmem heap allocations, expressed in percentage of the total amount of sysmem. This value will override OGL_MEMMGR_SYS_HEAP_ALLOC_LIMIT
0x20E19453	OpenGL - Default Render GPU Override	10 - OpenGL	Override the default render GPU. The value is a zero-based index in the EnumDisplayDevices iteration space (same index as global {gls,win}device array). Affects both win7 and winxp-MMB.
0x20E803DF	OpenGL - Full-Power Clear Notification	10 - OpenGL	Notify RM at each clear that pstates should be pushed to full power for Optimus and MSHybrid
0x20E92E6B	OpenGL - SDSR Tuning	10 - OpenGL	Provides fine tuning of SDSR
0x20ED4F82	OpenGL - Clip Plane Edge Clipping	10 - OpenGL	Clips edges on a clip plane as opposed to drawing edges on a clip plane per spec
0x20F12335	OpenGL - MapBufferRange Invalidate Masking	10 - OpenGL	Mask MAP_INVALIDATE_RANGE_BIT flag away from <access> parameter provided to MapBufferRange(). Default is no masking.
0x20F12336	OpenGL - Disable the BlitFramebuffer clipping to scissor	10 - OpenGL	Disable the BlitFramebuffer clipping to scissor
0x20F21052	OpenGL - Used for testing to force different sector promotion methods	10 - OpenGL	Used for testing to force different sector promotion methods.
0x20F995AB	0x20F995AB (OpenGL)	10 - OpenGL	
